system_id,comp1,comp2,T_K,x1,y1,P_kPa,Psat1_kPa,Psat2_kPa,source,data_type
4,methanol,cyclohexane,318.15,0.8,0.3492,121.9177,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.85,0.3314,126.6594,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.9,0.3343,125.6959,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.95,0.397,107.8216,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.98,0.5568,78.4691,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,1.0,1.0,44.493,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
5,ethanol,benzene,298.15,0.0,0.0,12.6394,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.02,0.2508,16.5688,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.04,0.3568,19.024,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.06,0.4107,20.5335,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.08,0.4401,21.4328,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.1,0.4561,21.9379,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.15,0.4673,22.2842,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.2,0.46,22.0996,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.25,0.4456,21.8102,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.3,0.4286,21.5678,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.35,0.411,21.4208,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.4,0.3938,21.3787,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.45,0.3775,21.4365,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.5,0.3623,21.5832,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.55,0.3485,21.805,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.6,0.3362,22.0835,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.65,0.3258,22.3907,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.7,0.3178,22.68,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.75,0.3134,22.8681,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.8,0.3147,22.8012,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.85,0.3264,22.1876,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.9,0.3604,20.4607,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.95,0.4606,16.4884,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,0.98,0.6407,12.1366,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
5,ethanol,benzene,298.15,1.0,1.0,7.9237,7.9237,12.6394,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.0,0.0,29.7228,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.02,0.2829,40.706,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.04,0.3968,47.6888,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.06,0.4538,52.0672,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.08,0.4849,54.7395,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.1,0.5022,56.2913,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.15,0.5156,57.4967,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.2,0.51,57.0686,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
6,ethanol,benzene,318.15,0.25,0.4967,56.2382,23.1824,29.7228,Chu_1950/DECHEMA_I_Part1,lit-NRTL-calc
